COUNTRIES,JANUARY DEPARTURE,FEBRUARY DEPARTURE,MARCH DEPARTURE,APRIL DEPARTURE,MAY DEPARTURE,JUNE DEPARTURE,JULY DEPARTURE,AUGUST DEPARTURE,SEPTEMBER DEPARTURE,OCTOBER DEPARTURE,NOVEMBER DEPARTURE
IVORIANS,1634,1662,3559,1517,1673,1727,1954,2351,2201,1677,2172
BURKINESE,1780,1693,3482,1394,1653,1494,1482,2750,1714,1416,1404
NIGERIANS,7910,6490,13558,9320,9421,8867,8969,9554,8533,7583,8051
LIBERRIANS,757,734,1498,1215,1414,1459,1520,1368,1402,1230,1604
SOUTH AFRICANS,1415,1563,1767,1622,1760,1996,1984,1898,1877,2104,1993
TOGOLESE,873,702,1581,906,856,888,1081,1230,1285,1045,1074
FRENCH,905,1117,1126,1350,1064,1145,1177,1246,1074,1187,1201
GERMANS,1548,1298,1555,1704,1253,1184,1614,2454,1968,1763,1476
DUTCH,1250,903,1049,1079,1083,1062,1440,2028,1056,1213,1217
BRITISH,4798,3257,3888,1854,3452,3649,4463,6556,4887,4226,4407
AMERICANS,4987,3848,4956,2118,6113,6614,7590,8826,6314,5590,5946
CANADIANS,1074,937,1048,408,1255,1068,1085,997,907,918,1033
CHINESE,1539,1987,1057,1388,1397,1479,1666,1540,1620,1232,1263
INDIANS,1465,1525,1710,1839,1883,2044,2204,1764,1739,1874,1865
LEBANESE,531,562,622,766,614,956,1137,749,681,603,548
AUSTRIALIANS,428,449,435,139,430,444,456,380,419,475,445
OTHER NATIONALS,10364,9920,185,19203,12232,12628,13097,13876,12855,12216,12648
