MONTHS,IVORIANS,BURKINESE,NIGERIANS,LIBERRIANS,SOUTH AFRICANS,TOGOLESE,FRENCH,GERMANS,DUTCH,BRITISH,AMERICANS,CANADIANS,CHINESE,INDIANS,LEBANESE,AUSTRIALIANS,OTHER NATIONALS
JANUARY DEPARTURE,1634,1780,7910,757,1415,873,905,1548,1250,4798,4987,1074,1539,1465,531,428,10364
FEBRUARY DEPARTURE,1662,1693,6490,734,1563,702,1117,1298,903,3257,3848,937,1987,1525,562,449,9920
MARCH DEPARTURE,3559,3482,13558,1498,1767,1581,1126,1555,1049,3888,4956,1048,1057,1710,622,435,185
APRIL DEPARTURE,1517,1394,9320,1215,1622,906,1350,1704,1079,1854,2118,408,1388,1839,766,139,19203
MAY DEPARTURE,1673,1653,9421,1414,1760,856,1064,1253,1083,3452,6113,1255,1397,1883,614,430,12232
JUNE DEPARTURE,1727,1494,8867,1459,1996,888,1145,1184,1062,3649,6614,1068,1479,2044,956,444,12628
JULY DEPARTURE,1954,1482,8969,1520,1984,1081,1177,1614,1440,4463,7590,1085,1666,2204,1137,456,13097
AUGUST DEPARTURE,2351,2750,9554,1368,1898,1230,1246,2454,2028,6556,8826,997,1540,1764,749,380,13876
SEPTEMBER DEPARTURE,2201,1714,8533,1402,1877,1285,1074,1968,1056,4887,6314,907,1620,1739,681,419,12855
OCTOBER DEPARTURE,1677,1416,7583,1230,2104,1045,1187,1763,1213,4226,5590,918,1232,1874,603,475,12216
NOVEMBER DEPARTURE,2172,1404,8051,1604,1993,1074,1201,1476,1217,4407,5946,1033,1263,1865,548,445,12648
